model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high,year
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,HDD,0.9732002788117491,0.11886668914137684,8.187325531160802,2.670950152271862e-16,0.7402258491331322,1.206174708490366,2023
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,CDD,7.493301926351646,0.11725145697989761,63.9079642962249,0.0,7.263493293536199,7.723110559167092,2023
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,night,-18.840787759417413,0.20640890398099657,-91.2789487082981,0.0,-19.245341777308553,-18.436233741526273,2023
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,weekend,-9.067948239913488,0.23773545769908827,-38.14301967269506,0.0,-9.533901174851847,-8.601995304975128,2023
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,PMI,1.153047048753903,0.27091696284840916,4.2560902670353915,2.080327439451521e-05,0.6220595587700453,1.6840345387377609,2023
model_8,TABLE 8 - sqrt_consumption ~ HDD + CDD + night dummy + weekend dummy + PMI + IR,IR,2.715230943847729,0.26642540476428667,10.191336469020147,2.16763513624315e-24,2.193046745943221,3.237415141752237,2023
model_1,TABLE 1 - consumption ~ HDD + CDD,const,39012.667674180324,61.7250564773354,632.0394002151338,0.0,38891.688786541046,39133.6465618196,2024
model_1,TABLE 1 - consumption ~ HDD + CDD,HDD,784.1742932292173,67.16829653137944,11.674768212453767,1.715326370025018e-31,652.5268511248069,915.8217353336277,2024
model_1,TABLE 1 - consumption ~ HDD + CDD,CDD,3230.403862065085,78.45184994331247,41.176898497604604,0.0,3076.641061655652,3384.166662474518,2024
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,const,41340.59342703836,62.64142055220645,659.9561929248458,0.0,41217.818498815606,41463.36835526111,2024
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,HDD,750.2799157300915,49.95761858498726,15.018328274669956,5.569467588770596e-51,652.3647825501276,848.1950489100553,2024
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,CDD,3158.9472368948377,62.40327271987388,50.621499469671114,0.0,3036.639069846454,3281.2554039432216,2024
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,night,-7981.459724084653,88.92859110034021,-89.75133447328525,0.0,-8155.756559837209,-7807.162888332097,2024
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,const,42274.421735341464,64.19837727532659,658.4967335551147,0.0,42148.59522801591,42400.24824266702,2024
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,HDD,719.2805994028413,46.11866101347618,15.596302745924534,7.713372731081602e-55,628.8896848012165,809.6715140044661,2024
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,CDD,3036.592866481782,60.12685420925267,50.503105582638206,0.0,2918.7463977279563,3154.439335235608,2024
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,night,-7985.623019189551,89.52626875832946,-89.19865789052639,0.0,-8161.091281626131,-7810.1547567529715,2024
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,weekend,-3282.083933524067,101.06061235490236,-32.476390722808205,2.297746056492114e-231,-3480.1590939952393,-3084.008773052895,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,const,43302.280088909676,175.7058227563689,246.44761004279283,0.0,42957.90300443322,43646.657173386135,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,HDD,641.4455124170562,95.24045202484466,6.735011214034633,1.6391729220082182e-11,454.77765657704583,828.1133682570666,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,CDD,642.269201044783,89.17872325005341,7.202045259651084,5.931599524013168e-13,467.4821152874136,817.0562868021525,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,night,-8066.772462006045,78.8125060305457,-102.3539647233089,0.0,-8221.24213535726,-7912.30278865483,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,weekend,-3697.6401428519753,90.88093989655144,-40.6866406428119,0.0,-3875.7635119303654,-3519.516773773585,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_1,-1719.4895253259483,295.65856726307936,-5.815794689270522,6.034649808218486e-09,-2298.969668882297,-1140.0093817695997,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_2,-2200.384812892666,256.25505423920345,-8.586698199672185,8.950434384849031e-18,-2702.635490057863,-1698.1341357274691,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_3,-2861.126759349246,242.27352774661412,-11.809489819051151,3.4867051204222983e-32,-3335.974148140075,-2386.279370558417,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_4,-5854.131390569571,233.50933794110415,-25.070223924176013,1.050873856874621e-138,-6311.801282987927,-5396.461498151214,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_5,-2888.8093919162184,179.23807990530474,-16.117163235861696,1.9328017086838868e-58,-3240.109573188728,-2537.5092106437087,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_6,-90.56483496513623,258.1515121628191,-0.35082047053056176,0.7257230388267615,-596.5325013588154,415.40283142854287,2024
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,month_7,5319.091728784053,260.6108969447185,20.410089490280807,1.360354098932728e-92,4808.303756793725,5829.879700774381,2024
